training_rmse,validation_rmse,inducing_time,training_time,validation_time,optimal_theta,gp_variance,noise_variance,reduced_loglikelihood,output_name,sparse_method,inducing_method,m
0.0050507026931607335,0.005050377034090788,0.0,126.46446347236633,0.10170316696166992,[3.71627501e-01 1.08091873e-13 4.36351295e-02 7.41882354e-04],0.008958716634281393,2.144913039681864e-05,[[222851.6450522]],CXC,FITC,RANDOM,300
0.00577229487888069,0.005971339538702891,183.47120761871338,131.94855093955994,0.11150026321411133,[1.00000000e+00 8.40774160e-14 2.12101985e-02 8.59119332e-04],0.004248162057534624,3.601500009195504e-05,[[217594.51808027]],CXC,FITC,KMEANS,300
0.00493980878390021,0.004951269651097226,53.46528148651123,128.36507081985474,0.10251116752624512,[5.55629909e-01 6.93727372e-14 4.49033278e-02 2.49974080e-03],0.012952831756907757,2.243483394688138e-05,[[224318.23784548]],CXC,FITC,NORM_KMEANS,300
0.005655920430055554,0.005484944770981204,0.0,121.81592655181885,0.10194587707519531,[8.35526597e-02 3.19446323e-14 2.70987669e-02 1.02664840e-03],0.007343870400777461,3.4305560578998014e-05,[[216110.28482373]],CXC,VFE,RANDOM,300
0.0062867424550977,0.006381120024336083,145.95806646347046,127.69077610969543,0.10441946983337402,[1.65540628e-01 4.86023099e-14 1.49977971e-02 6.98899510e-04],0.0013529543490278782,4.707672567393564e-05,[[209967.01070903]],CXC,VFE,KMEANS,300
0.005103928797907922,0.005182386291975821,57.137757539749146,126.23177170753479,0.10916423797607422,[2.31031049e-01 2.03297900e-13 2.40268176e-02 7.91041187e-04],0.013691920461905436,2.668081402465771e-05,[[220987.43224924]],CXC,VFE,NORM_KMEANS,300
0.002881491497386508,0.0028738478268820937,0.0020265579223632812,127.1890766620636,0.1035771369934082,[2.07041724e-01 1.04528233e-13 1.28963187e-02 2.34349389e-03],0.005340459088719901,6.807612925117061e-06,[[251493.36288388]],CYC,FITC,RANDOM,300
0.0033484015392934727,0.0033493892924315776,180.01273393630981,127.96417570114136,0.10256338119506836,[2.10408556e-01 2.15619430e-13 5.68045649e-03 1.11898106e-03],0.0029275699917300285,8.15655978217757e-06,[[246789.35772081]],CYC,FITC,KMEANS,300
0.002807863562813514,0.0027194359605370575,54.89664626121521,130.9271936416626,0.10266327857971191,[1.30247056e-01 8.46817760e-14 2.41850553e-02 3.02108504e-03],0.009032333932568666,6.785300752578337e-06,[[253531.57274849]],CYC,FITC,NORM_KMEANS,300
0.0029257136497553337,0.00304572186217745,0.0,127.9827790260315,0.1018075942993164,[2.85966216e-02 6.93634995e-14 7.34817835e-03 1.06222689e-03],0.007971166394000776,9.30050177591115e-06,[[248194.75206694]],CYC,VFE,RANDOM,300
0.003210667723914889,0.003128125272529104,160.39878153800964,127.13297152519226,0.10424613952636719,[5.72179240e-02 1.10220636e-13 6.42800080e-03 7.45399543e-04],0.000768524484055691,1.0488875410531164e-05,[[243635.61609575]],CYC,VFE,KMEANS,300
0.0027841864704887757,0.0028554026094519546,56.04354977607727,126.79529738426208,0.11050558090209961,[7.16086204e-02 1.88600217e-13 1.05314699e-02 1.62648120e-03],0.0031978825709632445,7.90865654544131e-06,[[250831.75071802]],CYC,VFE,NORM_KMEANS,300
0.01565917458572854,0.016102200055211915,0.0,133.13873076438904,0.11224579811096191,[4.40620885e-01 2.94894107e-13 3.21196616e-02 7.44865105e-04],0.0682589891243594,0.00023829283740735326,[[169283.68315029]],CZC,FITC,RANDOM,300
0.021238640438241654,0.020393828265401523,156.40615391731262,133.8427619934082,0.11149907112121582,[3.15149419e-01 2.86565914e-13 1.55553127e-02 4.04139261e-04],0.11043769717235491,0.00022262684767160142,[[166381.61078972]],CZC,FITC,KMEANS,300
0.015441244522139123,0.015584588412532812,59.457393646240234,128.8144190311432,0.10059428215026855,[6.63993698e-01 3.21730819e-13 3.70972376e-02 8.05790099e-04],0.09912506320600621,0.0002112129214716193,[[171229.06369611]],CZC,FITC,NORM_KMEANS,300
0.01563714534666039,0.015878855618489483,0.0,124.61977052688599,0.0962076187133789,[1.18256114e+00 1.65989847e-13 3.55376927e-02 5.00032237e-04],0.021636850324590035,0.00027512177472174224,[[168382.06256023]],CZC,VFE,RANDOM,300
0.018675810413912655,0.018308852774281736,195.5983908176422,124.750821352005,0.10202956199645996,[3.57685146e-01 1.28294283e-13 1.00379466e-02 9.23223386e-04],0.0174386842564664,0.00038253045957150326,[[159841.35762026]],CZC,VFE,KMEANS,300
0.015554091821081509,0.015693764660573997,54.36815810203552,124.56332874298096,0.11224865913391113,[4.20467399e-01 4.43443724e-13 2.37750336e-02 6.92636534e-04],0.05995429357129954,0.0002575700487264086,[[168779.60137989]],CZC,VFE,NORM_KMEANS,300
0.021589309682693385,0.021511448024184733,0.008043289184570312,139.47114849090576,0.10203099250793457,[2.78836883e-01 2.12338026e-13 8.42651606e-02 1.92168454e-03],0.012346415193658792,0.00041436711196154687,[[156910.79698981]],CLAAC,FITC,RANDOM,300
0.02327380757878888,0.023823583091399446,168.6490399837494,139.61248302459717,0.10815191268920898,[5.57430294e-02 1.34893856e-13 4.23024819e-02 8.21669730e-04],0.027140439306984912,0.0002666416622589261,[[159783.66215579]],CLAAC,FITC,KMEANS,300
0.02155231754330987,0.020563629884466497,64.861248254776,129.31026697158813,0.09441328048706055,[5.83275693e-02 2.95699217e-13 8.55914129e-02 2.46282526e-03],0.017355370541608264,0.0003588019078723983,[[157882.49125315]],CLAAC,FITC,NORM_KMEANS,300
0.02134394484782204,0.021597791035712462,0.0,124.74766564369202,0.09446191787719727,[1.28218588e-01 2.88901624e-14 5.00762272e-02 1.90407902e-03],0.0235893041335039,0.0004747789297072925,[[155739.6133744]],CLAAC,VFE,RANDOM,300
0.022798647581673978,0.022351565177087248,149.8123481273651,124.92213582992554,0.10232996940612793,[3.32755484e-01 7.35080379e-14 2.15663267e-02 7.94633152e-04],0.007687965206517662,0.0005799410447296793,[[151114.79689535]],CLAAC,VFE,KMEANS,300
0.021134847350173312,0.020410136061831837,58.9175751209259,125.23207259178162,0.09430265426635742,[2.20721169e-01 1.43428615e-13 3.73213635e-02 1.98447108e-03],0.014773776246221669,0.0004380511633240246,[[155845.11885511]],CLAAC,VFE,NORM_KMEANS,300
0.016878458994577582,0.016987707979997324,0.0,127.31705784797668,0.10561752319335938,[1.00000000e+00 8.14389112e-14 2.63451425e-02 3.27038113e-03],0.007451134588470385,0.00030127323910332466,[[165861.36183972]],CMAAC,FITC,RANDOM,300
0.018415553128787385,0.01803281619348598,199.12413501739502,129.67021203041077,0.09229469299316406,[1.57252260e-01 4.07426618e-13 1.71216730e-02 1.62049674e-03],0.007453725994237469,0.0002718616120836741,[[162972.39380898]],CMAAC,FITC,KMEANS,300
0.01623560341725991,0.016725402522210393,54.072840213775635,128.8179898262024,0.10327601432800293,[1.00000000e+00 3.74542316e-13 2.23624715e-02 5.58578630e-03],0.008597556327199194,0.0002516640383701742,[[168042.80703792]],CMAAC,FITC,NORM_KMEANS,300
0.017270577006841994,0.01713783785411438,0.0,124.55889821052551,0.10035538673400879,[3.08374766e-01 8.49900800e-14 2.77643507e-02 2.23434287e-03],0.007162862837841941,0.00032864838483399596,[[164662.58177179]],CMAAC,VFE,RANDOM,300
0.01841005877802653,0.01829124768537948,184.92815804481506,125.17389440536499,0.10226321220397949,[4.12588056e-01 8.05240091e-14 1.55077726e-02 1.58663168e-03],0.002996407190433592,0.0003532641559771097,[[161051.3893528]],CMAAC,VFE,KMEANS,300
0.0163538014883817,0.016545478756831104,54.71323895454407,125.14209032058716,0.10240674018859863,[1.04903838e+00 1.30342273e-13 2.72524590e-02 2.94093928e-03],0.006619338995196151,0.00027952483588400705,[[167305.68728522]],CMAAC,VFE,NORM_KMEANS,300
0.008924545464727181,0.008542112968388475,0.002057790756225586,128.61609554290771,0.10229849815368652,[1.07141406e-01 1.26135648e-13 5.46829593e-02 3.45990311e-03],0.011433598607266999,4.349844579076202e-05,[[205093.46876266]],CNAAC,FITC,RANDOM,300
0.009933862386134132,0.01050434808775742,179.40933561325073,131.85252499580383,0.10228681564331055,[2.13493325e-01 1.34768329e-13 1.99232004e-02 1.43078549e-03],0.008981333976838002,4.814613342725396e-05,[[199182.61515969]],CNAAC,FITC,KMEANS,300
0.008119491633807279,0.008430275503480533,56.90370297431946,127.72092938423157,0.11178731918334961,[1.22241900e-01 1.33753897e-13 5.00838042e-02 3.27479004e-03],0.010688870801204812,4.871629846234796e-05,[[205212.46825411]],CNAAC,FITC,NORM_KMEANS,300
0.008421474001866559,0.008315056795645252,0.0,124.25864028930664,0.10359334945678711,[5.15103970e-02 3.21924130e-14 1.09383464e-02 2.06989643e-03],0.013503920002325556,7.019824971669813e-05,[[198570.76010464]],CNAAC,VFE,RANDOM,300
0.009202464217869032,0.00913723270273616,167.87856698036194,125.45753359794617,0.1016697883605957,[3.87221689e-01 9.59722388e-14 5.59700179e-03 1.11271577e-03],0.00514579990355233,8.80195007729302e-05,[[194785.77195642]],CNAAC,VFE,KMEANS,300
0.008029140551955714,0.00766698349323575,55.406487226486206,124.83339142799377,0.1003868579864502,[1.71998980e-01 5.47785465e-14 1.39885999e-02 2.80572027e-03],0.01756474149395673,6.514141378071047e-05,[[201396.56782028]],CNAAC,VFE,NORM_KMEANS,300
