training_rmse,validation_rmse,inducing_time,training_time,validation_time,optimal_theta,gp_variance,noise_variance,reduced_loglikelihood,output_name,sparse_method,inducing_method,m
0.004781300946521836,0.004855209260306419,0.0,210.6467673778534,0.1741197109222412,[1.03055482e+00 2.12021343e-13 4.64524203e-02 1.42955117e-03],0.0056856016673066554,2.196511640514308e-05,226466.36404856294,CXC,FITC,RANDOM,500
0.007036311504281022,0.007485435393201129,333.5534963607788,214.21400690078735,0.1734638214111328,[6.37693306e-01 2.41857194e-13 2.79807577e-02 7.09634110e-04],0.005054143976297825,2.1837359386173705e-05,220553.8387250537,CXC,FITC,KMEANS,500
0.004606857719488335,0.004517633267771144,101.59108185768127,216.2785074710846,0.17225098609924316,[8.94148689e-01 1.58444972e-13 7.84640387e-02 3.27133600e-03],0.010241307892409705,1.5874896476115927e-05,228052.80034514144,CXC,FITC,NORM_KMEANS,500
0.004845174385447548,0.004674608688629834,0.0,208.83931183815002,0.16164374351501465,[8.75650228e-01 7.56037133e-14 3.25430364e-02 1.38947402e-03],0.007875066779163359,2.7110166677345238e-05,223896.50410996005,CXC,VFE,RANDOM,500
0.005791181665697557,0.00592081806544488,302.9839611053467,212.062317609787,0.16372299194335938,[3.59620921e-01 1.30694712e-13 1.19405464e-02 7.98366154e-04],0.003892883886371087,4.1406285507802136e-05,213150.41450156737,CXC,VFE,KMEANS,500
0.004616254323060647,0.004724131478246258,102.46307063102722,211.40505003929138,0.1680459976196289,[3.70400275e-01 3.63224400e-13 4.17246448e-02 1.97463716e-03],0.006063497049561605,2.2942021590863983e-05,224849.47647018638,CXC,VFE,NORM_KMEANS,500
0.002671761380105632,0.002633277813532166,0.0,215.20498967170715,0.16551852226257324,[2.50126787e-01 1.91152420e-13 2.94916423e-02 2.17528042e-03],0.006851434231710269,5.801507760435809e-06,255354.34839567542,CYC,FITC,RANDOM,500
0.0032140932600900024,0.0031898673344060093,341.8996932506561,215.0844407081604,0.17456960678100586,[5.65485519e-02 2.25586183e-13 9.61610185e-03 8.20505479e-04],0.01089483168200801,6.933564822124856e-06,248031.20941639692,CYC,FITC,KMEANS,500
0.0025485157564593933,0.0024873355630471573,100.06401324272156,217.34277510643005,0.1649479866027832,[9.69043587e-02 1.39380075e-13 4.28227226e-02 2.24657339e-03],0.007800053394886875,5.984872319405846e-06,256293.067428533,CYC,FITC,NORM_KMEANS,500
0.0027480205664742884,0.002868271498957297,0.0,210.88700222969055,0.167799711227417,[3.97689423e-02 1.19058139e-13 9.81615273e-03 1.94638249e-03],0.004399801741813316,7.600921662375197e-06,251106.34402895346,CYC,VFE,RANDOM,500
0.003168432527871639,0.0030863345625775974,319.0895745754242,210.0613386631012,0.17300724983215332,[1.06542872e-01 3.25004407e-13 3.77666728e-03 4.80882394e-04],0.003938929394658981,1.0666290728955527e-05,244840.8811342977,CYC,VFE,KMEANS,500
0.0025306035157514474,0.0025893808416960545,94.2960901260376,212.87226581573486,0.1650705337524414,[2.13711617e-01 1.41661544e-13 3.53387122e-02 1.67681641e-03],0.006432328798707017,7.35133920888571e-06,254414.21236847714,CYC,VFE,NORM_KMEANS,500
0.014519428143420547,0.014963773203258954,0.0,217.6071012020111,0.17035126686096191,[2.30515056e-01 8.57219641e-13 3.50373304e-02 4.42768250e-04],0.28836858966910706,0.0001879587588174072,172894.55508103967,CZC,FITC,RANDOM,500
0.017908635293087973,0.01753096042317483,332.78425645828247,218.60714173316956,0.17005014419555664,[1.07193383e+00 3.50765878e-13 1.42998888e-02 4.47377999e-04],0.37432980455257403,0.00017087944158469383,171246.17554047704,CZC,FITC,KMEANS,500
0.014845533881500053,0.014812696769888913,89.9243106842041,218.7127068042755,0.17378544807434082,[2.24339852e-01 3.58607418e-13 5.01087580e-02 1.24266695e-03],0.2972071993810385,0.00018386606063802176,173187.3221046254,CZC,FITC,NORM_KMEANS,500
0.014691996112498197,0.015051723237298382,0.004023313522338867,213.32781720161438,0.1664421558380127,[1.06976033e+00 1.26470017e-13 3.72123588e-02 7.52642922e-04],0.09147671968740217,0.00024605085178893153,171502.00017841347,CZC,VFE,RANDOM,500
0.017745943840314665,0.017387440440687834,325.9195098876953,212.57349920272827,0.16775035858154297,[2.93975359e-01 2.37424491e-13 1.09735416e-02 5.91755445e-04],0.028562222495399723,0.0003085940543344123,161872.77662087884,CZC,VFE,KMEANS,500
0.014458608153223838,0.014767213730623282,88.94889116287231,213.13211584091187,0.16851043701171875,[4.15600073e-01 2.86508133e-13 3.34510542e-02 1.04528628e-03],0.2453911554570957,0.00019738586782779745,172228.79898561537,CZC,VFE,NORM_KMEANS,500
0.02027871050058654,0.020062401473326476,0.003640413284301758,219.53414702415466,0.1656808853149414,[3.31009361e-01 4.96179283e-14 8.54866069e-02 4.17083719e-03],0.019818374843171678,0.0003893793065467238,158307.6473502796,CLAAC,FITC,RANDOM,500
0.025665345517732866,0.02570439827892807,299.9707086086273,217.69689321517944,0.17296600341796875,[1.22238961e-01 3.43560850e-13 8.70143266e-02 9.62829479e-04],0.017708173616949367,0.00019412072939029484,162963.94829448313,CLAAC,FITC,KMEANS,500
0.019950480120187384,0.018986155427282533,112.12835741043091,217.69689273834229,0.16901326179504395,[4.24227240e-01 1.10329031e-13 1.38381868e-01 4.82410375e-03],0.020864390298451035,0.0003625289077954675,159316.03396757622,CLAAC,FITC,NORM_KMEANS,500
