training_rmse,validation_rmse,inducing_time,training_time,validation_time,optimal_theta,gp_variance,noise_variance,reduced_loglikelihood,output_name,sparse_method,inducing_method,m
0.008193552690124858,0.008030757094260974,0.015690326690673828,17.713297128677368,0.02029895782470703,[2.29712470e-01 1.63348908e-15 1.15736423e-02 6.28971567e-04],0.014493613383309687,5.7827522775887196e-05,[[202453.19950065]],CXC,FITC,RANDOM,50
0.010311371688577816,0.010390899851695775,5.633725166320801,18.660343408584595,0.018308162689208984,[1.49832590e-01 1.23831337e-14 8.28611921e-03 3.17795717e-04],0.0043529483768655255,5.288175850114401e-05,[[195246.08236639]],CXC,FITC,KMEANS,50
0.009124377859786746,0.008889799529256602,7.9370527267456055,19.230560302734375,0.010320425033569336,[1.35874568e-01 2.29902197e-14 7.79551331e-03 1.70944692e-04],0.02444253961767304,7.858425964965013e-05,[[198700.41875621]],CXC,FITC,NORM_KMEANS,50
0.00852709290668988,0.008417240578713096,0.0,18.424978494644165,0.010331392288208008,[3.81721734e-01 1.18479824e-14 7.94703356e-03 2.02739275e-04],0.003237065502237359,7.892379792964627e-05,[[197173.73066712]],CXC,VFE,RANDOM,50
0.009576614389287499,0.009847076121678311,6.469583988189697,18.90242624282837,0.02032184600830078,[2.17792532e-01 8.16429598e-15 5.45274723e-03 9.88734173e-05],0.001327414409359541,8.87359958553662e-05,[[191631.16845432]],CXC,VFE,KMEANS,50
0.008681699486909703,0.008645767668002203,7.732702016830444,18.70971441268921,0.010269641876220703,[1.38646153e-01 1.95675693e-14 5.97727134e-03 1.05844523e-03],0.0009985673181854347,8.162982850290051e-05,[[197229.94290397]],CXC,VFE,NORM_KMEANS,50
0.004492832873393809,0.004412111050007295,0.0,19.045092582702637,0.01647782325744629,[2.11531857e-01 1.51008846e-14 3.94581824e-03 9.15804353e-04],0.008685368069198268,8.347180022090129e-06,[[240270.69046961]],CYC,FITC,RANDOM,50
0.004842424044590563,0.00481356765094201,6.12522029876709,19.187156915664673,0.010168075561523438,[7.79952848e-02 7.90931477e-15 3.85149207e-03 4.88648435e-04],0.017537078827871564,5.820379101033943e-06,[[237958.60999687]],CYC,FITC,KMEANS,50
0.005025463732415305,0.005278070400691037,9.441347599029541,19.298412799835205,0.020509004592895508,[2.71983548e-02 2.17643347e-14 5.14119143e-03 1.67335723e-03],0.009643139457830912,7.713695688381569e-06,[[239421.84097805]],CYC,FITC,NORM_KMEANS,50
0.0042660521747711995,0.004345526688677245,0.008086919784545898,18.333335399627686,0.01018834114074707,[4.19094816e-02 1.51920340e-14 3.09010153e-03 2.45455953e-04],0.0008999300061471961,1.9591335726071464e-05,[[231085.6998294]],CYC,VFE,RANDOM,50
0.0044714217959603425,0.0043738406596736746,6.75570821762085,18.47643280029297,0.012321233749389648,[9.54808031e-02 2.50451305e-14 2.81999967e-03 3.08097005e-04],0.0011738521983062692,1.8319421061064608e-05,[[226348.26721781]],CYC,VFE,KMEANS,50
0.004055078069683038,0.004121939182421896,8.308035850524902,18.860942840576172,0.020164966583251953,[7.69609519e-02 7.64285958e-15 9.38274351e-03 6.09263351e-04],0.0004897214286440219,1.558594212683298e-05,[[233000.58540964]],CYC,VFE,NORM_KMEANS,50
0.025746018910857964,0.02574820129853549,0.0,18.9996178150177,0.01826763153076172,[4.17011099e-01 1.03823115e-14 1.11290739e-02 6.46097876e-04],0.04475935683108333,0.00045986800132581543,[[150708.89137103]],CZC,FITC,RANDOM,50
0.026678911609770716,0.02670001075648003,5.415946960449219,19.364685773849487,0.012242317199707031,[9.01077227e-02 2.15882192e-14 7.57425162e-03 4.96585397e-04],0.01936775774556236,0.0005204582762576319,[[147635.52897445]],CZC,FITC,KMEANS,50
0.02461521382820144,0.024934294843008277,10.127554893493652,19.642965078353882,0.01788020133972168,[2.68654611e-01 1.02255035e-14 1.04119579e-02 1.12666318e-03],0.016979413780575256,0.0005700195286768768,[[150614.4924646]],CZC,FITC,NORM_KMEANS,50
0.024773570993813755,0.02473831981009461,0.0,18.51753854751587,0.015596389770507812,[7.40672937e-02 8.42792908e-15 3.53803741e-03 5.47380461e-04],0.05819238891488211,0.0006760102162684795,[[147645.85200798]],CZC,VFE,RANDOM,50
0.031395133475736504,0.031366285932352446,6.5030529499053955,18.76030158996582,0.020330190658569336,[6.15538977e-02 3.66171208e-14 1.40367428e-03 1.23223401e-04],0.06915481246871284,0.0009260496810490185,[[137890.96195362]],CZC,VFE,KMEANS,50
0.025087565081547303,0.024793337699500973,8.569368362426758,18.92110538482666,0.020333290100097656,[1.12667486e-01 1.97082762e-14 7.12967406e-03 1.01699935e-03],0.00582837142402994,0.0007298748649018401,[[147919.26284919]],CZC,VFE,NORM_KMEANS,50
0.029137397466935198,0.028443781251186184,0.0,19.42127275466919,0.02038097381591797,[1.93791656e-01 2.32276878e-14 1.97385753e-02 2.32735041e-03],0.019195483650382386,0.0005349439314386075,[[145689.19889559]],CLAAC,FITC,RANDOM,50
0.050402332975857174,0.05176419556409368,5.754997730255127,19.807005405426025,0.01708841323852539,[3.22177144e-01 1.23228578e-13 7.63589513e-03 2.37312046e-03],0.03785306358074491,5.306145855649614e-05,[[148740.41469654]],CLAAC,FITC,KMEANS,50
0.03155386252498757,0.031060692443778643,8.080263137817383,19.896924257278442,0.018244504928588867,[1.58467084e-01 7.96626807e-14 1.41211108e-02 2.24622675e-03],0.031573928605512454,0.0004688926412940218,[[144686.7075817]],CLAAC,FITC,NORM_KMEANS,50
