training_rmse,validation_rmse,inducing_time,training_time,validation_time,optimal_theta,gp_variance,noise_variance,reduced_loglikelihood,output_name,sparse_method,inducing_method,m
0.004557738748564572,0.004698607272520614,0.0045087337493896484,471.93586254119873,0.33345723152160645,[7.84302374e-01 2.66467753e-13 9.86730445e-02 4.25281029e-03],0.006124208625381321,1.8025209811691937e-05,229136.3009918891,CXC,FITC,RANDOM,1000
0.007500340449235143,0.008008472250027416,317.1968426704407,472.6171534061432,0.33776259422302246,[8.68175228e-01 2.51271526e-13 3.60885091e-02 9.14683970e-04],0.004180922370227669,2.1093880840235498e-05,222876.24037808366,CXC,FITC,KMEANS,1000
0.0042560906743141546,0.004261620361028497,137.50721168518066,472.38319993019104,0.3320763111114502,[5.07074017e-01 5.27667931e-13 1.04003644e-01 5.20644364e-03],0.009048229057530152,1.7936413263445074e-05,230200.49651001766,CXC,FITC,NORM_KMEANS,1000
0.0044270826026843015,0.004240347710129571,0.0,471.2820556163788,0.3307828903198242,[9.35264640e-01 2.93079624e-13 7.57307266e-02 7.93983649e-04],0.00579660176554043,2.2207788063762833e-05,227154.01392037235,CXC,VFE,RANDOM,1000
0.005771348183746287,0.005908868884190122,335.3209271430969,472.40827655792236,0.3388078212738037,[1.32436208e-01 1.81387064e-13 1.15677907e-02 6.91616047e-04],0.00744958399953305,3.6038988556746285e-05,214046.20640710462,CXC,VFE,KMEANS,1000
0.0042967365542289585,0.0044581668055047536,150.82659602165222,465.91541266441345,0.34751462936401367,[4.60890129e-01 2.84608131e-13 7.16251803e-02 1.81877531e-03],0.015199916820256797,1.9959137690736142e-05,229143.80098384246,CXC,VFE,NORM_KMEANS,1000
0.002489944181603824,0.00245902870762328,0.0005548000335693359,480.5161461830139,0.3284919261932373,[1.37271361e-01 1.18678973e-13 7.35095581e-02 7.60329573e-03],0.004664411152341977,4.979653818828495e-06,256890.34352214634,CYC,FITC,RANDOM,1000
0.0029599118104475025,0.002960488585820463,355.627788066864,476.2540566921234,0.3313150405883789,[1.46584544e-01 3.18425790e-13 1.24627377e-02 2.30242149e-03],0.0021343778729703165,6.908273490901089e-06,250706.244268924,CYC,FITC,KMEANS,1000
0.0023260295216398917,0.0022806982011637196,127.92114567756653,479.8925931453705,0.333467960357666,[4.52277660e-01 3.67330500e-13 5.46523882e-02 6.24554642e-03],0.012027409042203948,5.514341761521314e-06,259892.94692415,CYC,FITC,NORM_KMEANS,1000
0.0024716284155983028,0.0025534874993791944,0.0,471.6818950176239,0.3419227600097656,[2.74224228e-01 4.92548789e-14 3.04563290e-02 3.88674476e-03],0.010145836390915961,6.455974260842367e-06,255933.69084736705,CYC,VFE,RANDOM,1000
